date,Cadangan Devisa BI Menurut Jenis,Pertumbuhan PDB Harga Konstan Menurut Lapangan Usaha Sektoral (Triwulanan YoY),Total Nilai Ekspor Bulanan,Total Nilai Impor Bulanan
2000-01-31,29257.0,6.48,4394000000.0,2169500000.0
2000-02-29,29257.0,6.48,4793800000.0,2120400000.0
2000-03-31,29257.0,6.48,4951500000.0,2265100000.0
2000-04-30,29257.0,6.48,5012000000.0,2338900000.0
2000-05-31,29257.0,6.48,4858000000.0,2383600000.0
2000-06-30,29257.0,6.48,5346200000.0,2473500000.0
2000-07-31,29257.0,6.48,5391000000.0,2687200000.0
2000-08-31,29257.0,6.48,5576000000.0,3236500000.0
2000-09-30,29257.0,6.48,5772900000.0,3446200000.0
2000-10-31,29257.0,6.48,5563300000.0,3488300000.0
2000-11-30,29257.0,6.48,5239300000.0,3573900000.0
2000-12-31,29257.0,6.48,5226000000.0,3331700000.0
2001-01-31,29257.0,6.48,4890300000.0,2941100000.0
2001-02-28,29107.0,6.48,4738500000.0,3177300000.0
2001-03-31,28673.0,6.48,5238000000.0,3094400000.0
2001-04-30,28713.0,6.48,4785700000.0,2916000000.0
2001-05-31,28594.0,6.48,4850600000.0,2912900000.0
2001-06-30,28638.0,6.48,4846700000.0,2703200000.0
2001-07-31,28938.0,6.48,4865700000.0,2453300000.0
2001-08-31,28555.0,6.48,5123800000.0,2349100000.0
2001-09-30,28957.0,6.48,4350100000.0,2133000000.0
2001-10-31,28596.0,6.48,4519500000.0,2079000000.0
2001-11-30,28022.0,6.48,3894700000.0,2117400000.0
2001-12-31,28103.63618034,6.48,4217200000.0,2085400000.0
2002-01-31,27771.0,6.48,4087600000.0,2088000000.0
2002-02-28,27937.0,6.48,4197000000.0,2182200000.0
2002-03-31,28004.0,6.48,4554900000.0,2362700000.0
2002-04-30,28151.0,6.48,4801300000.0,2382900000.0
2002-05-31,28756.0,6.48,4725100000.0,2498200000.0
2002-06-30,29279.0,6.48,5094900000.0,2438900000.0
2002-07-31,30324.0,6.48,5001800000.0,2646200000.0
2002-08-31,30156.0,6.48,4927500000.0,2823800000.0
2002-09-30,30041.0,6.48,5142300000.0,2860200000.0
2002-10-31,29897.0,6.48,5328400000.0,3104800000.0
2002-11-30,29995.0,6.48,4437200000.0,2955900000.0
2002-12-31,32033.585247439998,6.48,4860600000.0,2945100000.0
2003-01-31,32182.0,6.48,4997400000.0,2739200000.0
2003-02-28,32218.0,6.48,4980900000.0,2818600000.0
2003-03-31,32578.0,6.48,5161900000.0,2817500000.0
2003-04-30,33626.0,6.48,5057100000.0,2621800000.0
2003-05-31,34162.0,6.48,4960600000.0,2575800000.0
2003-06-30,34057.0,6.48,5295300000.0,2446900000.0
2003-07-31,33733.0,6.48,5271000000.0,2609300000.0
